iter	Passed	Remaining
436	1427	11635
437	1429	11628
438	1432	11622
439	1435	11616
440	1438	11611
441	1441	11606
442	1444	11600
443	1447	11595
444	1450	11589
445	1454	11589
446	1457	11587
447	1460	11583
448	1463	11576
449	1466	11570
450	1469	11567
451	1473	11565
452	1476	11564
453	1481	11567
454	1483	11561
455	1487	11562
456	1490	11558
457	1493	11552
458	1497	11549
459	1500	11544
460	1503	11543
461	1506	11540
462	1510	11537
463	1513	11536
464	1517	11538
465	1521	11537
466	1524	11536
467	1528	11534
468	1531	11530
469	1535	11533
470	1538	11530
471	1542	11527
472	1545	11522
473	1548	11520
474	1552	11522
475	1556	11520
476	1559	11518
477	1562	11516
478	1566	11516
479	1570	11515
480	1573	11513
481	1577	11514
482	1581	11516
483	1585	11515
484	1588	11513
485	1591	11510
486	1595	11509
487	1599	11509
488	1602	11502
489	1605	11498
490	1608	11492
491	1611	11488
492	1614	11486
493	1617	11482
494	1620	11476
495	1624	11473
496	1627	11469
497	1630	11467
498	1633	11461
499	1636	11455
500	1639	11451
501	1642	11446
502	1646	11444
503	1649	11442
504	1653	11441
505	1656	11436
506	1659	11429
507	1662	11425
508	1665	11421
509	1668	11417
510	1671	11413
511	1675	11411
512	1678	11410
513	1681	11406
514	1685	11404
515	1688	11399
516	1691	11395
517	1694	11392
518	1697	11387
519	1700	11383
520	1703	11377
521	1706	11372
522	1710	11368
523	1713	11363
524	1715	11358
525	1719	11353
526	1721	11347
527	1725	11344
528	1728	11340
529	1731	11335
530	1734	11331
531	1737	11326
532	1740	11321
533	1743	11318
534	1747	11316
535	1750	11312
536	1753	11307
537	1756	11301
538	1759	11299
539	1762	11293
540	1765	11288
541	1768	11284
542	1771	11277
543	1774	11272
544	1777	11266
545	1779	11259
546	1782	11253
547	1785	11247
548	1788	11241
549	1791	11238
550	1794	11231
551	1797	11226
552	1800	11220
553	1802	11213
554	1805	11208
555	1808	11203
556	1811	11197
557	1814	11192
558	1817	11185
559	1819	11179
560	1823	11177
561	1826	11172
562	1829	11168
563	1832	11162
564	1834	11156
565	1838	11152
566	1841	11148
567	1844	11142
568	1847	11137
569	1849	11131
570	1852	11124
571	1855	11119
572	1858	11112
573	1860	11105
574	1863	11098
575	1865	11090
576	1868	11084
577	1871	11080
578	1874	11073
579	1876	11067
580	1879	11060
581	1882	11054
582	1885	11048
583	1888	11044
584	1890	11037
585	1893	11030
586	1896	11025
587	1899	11019
588	1901	11014
589	1904	11009
590	1907	11004
591	1910	10998
592	1913	10993
593	1916	10987
594	1919	10983
595	1922	10977
596	1924	10970
597	1927	10963
598	1929	10957
599	1933	10953
600	1935	10947
601	1938	10940
602	1940	10934
603	1943	10928
604	1946	10921
605	1949	10916
606	1952	10912
607	1955	10906
608	1957	10901
609	1960	10894
610	1963	10890
611	1966	10885
612	1968	10878
613	1971	10872
614	1974	10865
615	1976	10858
616	1979	10852
617	1982	10847
618	1984	10840
619	1986	10829
620	1989	10824
621	1992	10820
622	1995	10816
623	1998	10812
624	2001	10807
625	2004	10802
626	2007	10798
627	2009	10792
628	2013	10788
629	2016	10784
630	2019	10780
631	2022	10776
632	2025	10772
633	2028	10767
634	2031	10763
635	2034	10758
636	2037	10755
637	2040	10751
638	2043	10747
639	2046	10743
640	2049	10738
641	2052	10733
642	2054	10727
643	2057	10722
644	2060	10715
645	2063	10711
646	2065	10705
647	2068	10700
648	2071	10695
649	2074	10691
650	2077	10686
651	2080	10681
652	2082	10676
653	2085	10670
654	2088	10664
655	2091	10659
656	2094	10656
657	2096	10649
658	2099	10643
659	2102	10637
660	2104	10632
661	2107	10626
662	2110	10622
663	2113	10616
664	2115	10611
665	2118	10606
666	2121	10600
667	2123	10594
668	2127	10590
669	2129	10585
670	2132	10580
671	2135	10575
672	2138	10569
673	2140	10565
674	2143	10559
675	2146	10553
676	2149	10548
677	2151	10543
678	2154	10538
679	2157	10534
680	2160	10529
681	2163	10524
682	2165	10519
