iter	Logloss
0	0.6588789738
1	0.6350025413
2	0.6175448399
3	0.6022441389
4	0.5879257906
5	0.5767507263
6	0.5654099268
7	0.556111388
8	0.5442583501
9	0.5364779878
10	0.5284649058
11	0.5231636652
12	0.5162529875
13	0.5131633018
14	0.5072542594
15	0.5029431269
16	0.4985363249
17	0.4929491911
18	0.4894260974
19	0.4861632398
20	0.483219741
21	0.4796916009
22	0.4724063724
23	0.4698128829
24	0.4656871932
25	0.4645080301
26	0.4631531452
27	0.4614025677
28	0.4587156928
29	0.4567241619
30	0.4540821736
31	0.4520785313
32	0.4497062876
33	0.4474798589
34	0.4445818311
35	0.4415421847
36	0.4378099035
37	0.4350069609
38	0.4321138467
39	0.4306007963
40	0.4284832376
41	0.4259918186
42	0.4227830905
43	0.4202594541
44	0.4164950883
45	0.4143589641
46	0.4110688557
47	0.409117829
48	0.4077783756
49	0.4058548651
50	0.4044694627
51	0.402378225
52	0.4006109412
53	0.3989147854
54	0.3972576463
55	0.3961212185
56	0.3943370424
57	0.3920489146
58	0.3889910214
59	0.3879183909
60	0.3866210353
61	0.3849113338
62	0.3836667797
63	0.3815982775
64	0.3789027441
65	0.3772705981
66	0.3741691994
67	0.3720104991
68	0.370641378
69	0.3682070102
70	0.3665183178
71	0.3646394814
72	0.3622051402
73	0.3604161567
74	0.3591119751
75	0.3561220227
76	0.3548518646
77	0.3528192983
78	0.3510695973
79	0.3494891108
80	0.3474754021
81	0.3448707308
82	0.3428426797
83	0.339580433
84	0.3359070621
85	0.3333603715
86	0.3319517821
87	0.3298957101
88	0.3279011247
89	0.3264615397
90	0.3250828038
91	0.3241265864
92	0.3234236728
93	0.319591074
94	0.3176632342
95	0.3149690288
96	0.3129292912
97	0.3108888365
98	0.3099094056
99	0.3086603362
100	0.3051871224
101	0.3039287305
102	0.3029804811
103	0.3007515027
104	0.2979381485
105	0.2960202157
106	0.295452918
107	0.2932220539
108	0.2908705536
109	0.2892693502
110	0.2876901386
111	0.285422648
112	0.2828899812
113	0.2809229918
114	0.2791051109
115	0.2778521107
116	0.2768789479
117	0.2754111825
118	0.2720807028
119	0.270036211
120	0.2676733165
121	0.2657677341
122	0.2634382787
123	0.2620199418
124	0.2611170305
125	0.2594858673
126	0.2585737662
127	0.255621715
128	0.2536053238
129	0.2521060847
130	0.2508288617
131	0.2494242828
132	0.2467686958
133	0.2462322876
134	0.2457098235
135	0.2443578868
136	0.242874929
137	0.2415225408
138	0.2402906028
139	0.2376347236
140	0.2358625792
141	0.2347796434
142	0.2331162628
143	0.2318488138
144	0.230317862
145	0.2291837183
146	0.2279613684
147	0.2266132829
148	0.2255080632
149	0.2240057166
150	0.2237583887
151	0.2221763485
152	0.2213665968
153	0.2197096968
154	0.2193294754
155	0.217293443
156	0.2159583986
157	0.2151428435
158	0.2133984412
159	0.2112955171
160	0.2103595252
161	0.2086824927
162	0.207861931
163	0.2065413751
164	0.2048069993
165	0.2041320137
166	0.2025367465
167	0.2012581688
168	0.2002902915
169	0.1988191264
170	0.1975920489
171	0.1963339225
172	0.1958006484
173	0.1949058114
174	0.1934855754
175	0.192816433
176	0.1918986879
177	0.1904983189
178	0.1889433301
179	0.1876246334
180	0.1875487378
181	0.187466003
182	0.1867174326
183	0.1860153424
184	0.1852459488
185	0.1845043637
186	0.1836161269
187	0.182666005
188	0.1813482512
189	0.1801613325
190	0.1796353359
191	0.1786982683
192	0.1775578033
193	0.1763211641
194	0.1754019449
195	0.1742988899
196	0.1732942931
197	0.1725157895
198	0.1721164581
199	0.1717263961
200	0.1703184442
201	0.1699512239
202	0.1693246707
203	0.1681596907
204	0.1667339966
205	0.1657301037
206	0.165618684
207	0.1645728261
208	0.163860736
209	0.1629531502
210	0.1619137863
211	0.1611999565
212	0.1598869968
213	0.1591105382
214	0.1579067672
215	0.1570960859
216	0.1565864105
217	0.1565301827
218	0.1563475952
219	0.1558685568
220	0.1550601863
221	0.1543854928
222	0.1529527337
223	0.1520378305
224	0.1519982692
225	0.1518736093
226	0.1512395263
227	0.1507064779
228	0.1500869366
229	0.1495682706
230	0.1488096338
231	0.1482814062
232	0.1473156802
233	0.1466933766
234	0.1459088703
235	0.1451015223
236	0.1442817177
237	0.143654527
238	0.1432557932
239	0.1421400291
240	0.1416857182
241	0.1414344462
242	0.1413951505
243	0.1412466396
244	0.1403930106
245	0.1393578565
246	0.1382012164
247	0.1375228576
248	0.1364515818
249	0.1361588627
250	0.1350718366
251	0.1341674645
252	0.1335176712
253	0.1329088336
254	0.1325987309
255	0.1320300389
256	0.1312159446
257	0.1306817542
258	0.1299887077
259	0.1292903093
260	0.1287667562
261	0.1279412412
262	0.1275221092
263	0.1270548503
264	0.1262031203
265	0.1253307266
266	0.1243181884
267	0.1235419556
268	0.1228561999
269	0.1228306623
270	0.1222634975
271	0.1214021396
272	0.1206631308
273	0.1198406966
274	0.1190242917
275	0.1185346824
276	0.1179729359
277	0.1174532738
278	0.1170611933
279	0.1165581845
280	0.1162453727
281	0.115642604
282	0.1151794487
283	0.1147956151
284	0.1142570688
285	0.1137184694
